Date,User,Message
2020-06-01 12:02:55,"강강강","코스닥 레버리지"
2020-06-01 12:02:57,"강강강","떡상중이네"
2020-06-01 12:03:00,"강강강","왜 안샀지"
2020-06-01 12:03:02,"강강강","흑흑"
2020-06-01 12:29:42,"김정식","지나간것은"
2020-06-01 12:29:47,"김정식","지나간데로"
2020-06-01 12:30:02,"스코","셀트리온제약 날아가는즁"
2020-06-01 12:31:13,"강강강","코로나특수인갑네"
2020-06-01 12:31:34,"스코","옹 동물실험 성공뉴스"
2020-06-01 12:32:49,"강강강","임상시험은"
2020-06-01 12:32:52,"강강강","한참 멀었겠지?"
2020-06-01 12:35:34,"스코","담달중으로 사람한테 한다더라"
2020-06-01 12:35:35,"스코","ㅋㅋㅋ"
2020-06-01 12:35:48,"스코","오늘 매매는 꿀이달구만"
2020-06-01 12:35:52,"스코","캬캬"
2020-06-01 14:31:03,"강강강","주식하기 좋은시기일세"
2020-06-01 14:31:20,"스코","그르게"
2020-06-01 14:31:26,"스코","그 전에 물리지만 않았으면..ㅠ"
2020-06-01 14:58:17,"강강강","난 팔지않고 쥐고이"
2020-06-01 14:58:20,"강강강","있었으면..."
2020-06-01 15:00:22,"스코","ㅋㅋㅋㄱㅋㅋ"
2020-06-01 15:00:30,"스코","나도 셀트리온 급 후회중..ㅠ"
2020-06-01 15:02:24,"강강강","우리 돈벌긴 글른듯 ㅋㅋㅋㅋㅋㅋㅋ"
2020-06-01 15:54:46,"스코","그래도 쪼금씩 욕심부리지말고 모으는거지"
2020-06-01 15:54:47,"스코","ㅋㅋㅋ"
2020-06-01 16:19:39,"강강강","와 오늘 대박이다"
2020-06-01 16:20:05,"스코","왱 머가??"
2020-06-01 16:20:11,"강강강","장 자체가 ㅋㅋㅋㅋㅋㅋ"
2020-06-01 16:20:23,"강강강","개판나는거 아닌가했드만"
2020-06-01 16:20:26,"강강강","오르네"
2020-06-01 16:45:58,"승모","글쿤"
2020-06-01 16:46:00,"승모","난 삼성 팜"
2020-06-01 16:46:13,"스코","얼마에 샀었노??"
2020-06-01 16:46:14,"스코","ㅋㅋㅋ"
2020-06-01 16:46:15,"스코","삼성"
2020-06-01 16:46:18,"승모","50600원"
2020-06-01 16:46:20,"승모","ㅋㅋㅋㅋㅋ"
2020-06-01 16:46:23,"승모","개떨어지데"
2020-06-01 16:46:45,"스코","ㅋㅋㅋ"
2020-06-01 16:46:53,"스코","나도 샀다가 떨어지길래 손해보고 팔았다가"
2020-06-01 16:46:56,"스코","다시삼ㅠ"
2020-06-01 16:47:05,"승모","계속 오를거 같나 삼성"
2020-06-01 16:47:26,"스코","오르긴 오를꺼 같은데"
2020-06-01 16:47:29,"스코","개미가 많이 들어가서"
2020-06-01 16:47:33,"스코","시간 좀 걸릴듯ㅠ"
2020-06-01 16:47:50,"승모","글쿤"
2020-06-01 16:47:57,"승모","파크시스템즈 사서 좀 수익 봤는데"
2020-06-01 16:48:02,"승모","괜히 빨리 빠져나와서"
2020-06-01 16:48:04,"승모","아쉬움"
2020-06-01 16:49:13,"강강강","나도 쫄보모드라"
2020-06-01 16:49:21,"강강강","벌었다 싶을때 팔았더니"
2020-06-01 16:49:25,"강강강","훨훨 날아감 ㅋㅋㅋㅋㅋㅋ"
2020-06-01 16:50:15,"스코","ㅋㅋㅋㅋㅋㅋ"
2020-06-01 16:50:18,"스코","민성이는 뭐삼??"
2020-06-01 16:50:19,"승모","그니까"
2020-06-01 16:50:49,"승모","스코 추천하나 해도"
2020-06-01 16:50:56,"스코","ㅋㅋㅋ"
2020-06-01 16:51:00,"스코","얼마나 할껀데?"
2020-06-01 16:51:09,"승모","40만원 할수있다"
2020-06-01 16:51:11,"스코","ㅋㅋㅋ"
2020-06-01 16:51:14,"승모","너무 소액이제"
2020-06-01 16:51:16,"스코","그럼 LG화학 하나 사라"
2020-06-01 16:51:17,"스코","노노"
2020-06-01 16:51:20,"스코","나도 그정도로 함"
